publisher,mean_of_mean_score
arxiv_1,-9.991478
arxiv_2,-9.997558
arxiv_4,-10.024334
arxiv_3,-10.085042
wikipedia,-10.289632
emscience,-10.495022
aemjournal,-10.521301
radioeng_cz,-10.742507
spj,-10.820102
jtit,-10.826067
mdpi_20,-10.990569
mdpi_25,-11.000299
mdpi_22,-11.012331
mdpi_4,-11.013377
mdpi_18,-11.018169
mdpi_5,-11.018710
mdpi_21,-11.019977
mdpi_11,-11.021090
mdpi_7,-11.022072
mdpi_15,-11.022428
ijict_journal,-11.024476
mdpi_12,-11.026708
mdpi_16,-11.027634
mdpi_2,-11.028108
mdpi_9,-11.028567
mdpi_10,-11.029522
mdpi_3,-11.033430
mdpi_26,-11.034000
mdpi_14,-11.037468
mdpi_13,-11.039272
mdpi_24,-11.041566
mdpi_27,-11.043203
mdpi_6,-11.043546
mdpi_23,-11.045657
mdpi_19,-11.047252
springer_3,-11.048956
mdpi_8,-11.050701
mdpi_1,-11.051990
springer_1,-11.054457
mdpi_17,-11.057992
springer_4,-11.058525
wiley_3,-11.059130
springer_2,-11.059277
wiley_1,-11.064759
springer_5,-11.069353
wiley_2,-11.082350
wiley_4,-11.088253
epj_photovoltaics_journal,-11.195218
oxford_academic,-11.224028
aims_press,-11.316020
jecei_journal,-11.383735
eudl,-11.405401
degruyter_brill,-11.427489
tku_press,-11.434655
jaec_journal,-11.501737
cst_journal,-11.507385
taylor_and_francis,-11.512368
emerald,-11.537737
rtu,-11.617744
jict_journal,-11.639791
ijeeas_journal,-11.658746
sage,-11.676798
iopscience,-11.690642
iteecs_journal,-11.705823
nature,-12.028278
acig_journal,-12.245649
nas_ua,-13.357027
